row_id,pattern_name,question,citation_index,source_file,input,document_text,document_relevance_execution_details,document_relevance_score,phoenix_document_relevance_score,phoenix_document_relevance_label,phoenix_document_relevance_explanation
0,blackboard,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,1,hestia_ergo_podroz.md,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,3. Zakres ochrony ubezpieczeniowej określa umowa ubezpieczenia według poniższych wariantów:   | WARIANTY | I | II | III | |:---|:---:|:---:|:---:| | **Osoby objęte ochroną ubezpieczeniową** |  |  |  |,"{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 6.356255054473877}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': 'Document mentions coverage variants I, II, III for ERGO Podróż; thus it contains information about the number of variants.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"Document mentions coverage variants I, II, III for ERGO Podróż; thus it contains information about the number of variants."
0,blackboard,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,2,hestia_ergo_podroz.md,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,| Przedłużenie ochrony o 48 godzin | ✓ | ✓ | ✓ | | Opóźnienie lub odwołanie środka transportu | ✓ 1000 zł | ✓ 1000 zł | ✓ 1000 zł | | Przerwanie podróży | ✓ 3000 zł | ✓ 3000 zł | ✓ 10 000 zł | | Dozór,"{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 8.340901851654053}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': 'The document_text contains a multi-column table with three sets of coverage entries (three variants), suggesting ERGO Podróż offers three variants.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"The document_text contains a multi-column table with three sets of coverage entries (three variants), suggesting ERGO Podróż offers three variants."
0,blackboard,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,3,hestia_ergo_podroz.md,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,| **Ubezpieczenie Podróż Assistance** | ✓ | ✓ | ✓ | | **Ubezpieczenie Następstw Nieszczęśliwych Wypadków** | ✓ suma ubezpieczenia 10 000 zł | ✓ suma ubezpieczenia 30 000 zł | ✓ suma ubezpieczenia 60 0,"{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 7.9955949783325195}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': 'Assessing whether the document text provides information about the number of ERGO Podróż insurance variants.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,Assessing whether the document text provides information about the number of ERGO Podróż insurance variants.
0,blackboard,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,4,hestia_ergo_podroz.md,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,**Ubezpieczenia na miarę potrzeb.** Umożliwiamy indywidualną konfigurację zakresu ubezpieczenia.,"{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 6.356148958206177}","{'name': 'document_relevance', 'score': 0.0, 'label': 'unrelated', 'explanation': 'The question asks for the number of insurance variants offered by ERGO Podróż. The document text only states that insurance can be tailored/individually configured, but it does not specify any number of variants, thus it does not answer the question.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",0.0,unrelated,"The question asks for the number of insurance variants offered by ERGO Podróż. The document text only states that insurance can be tailored/individually configured, but it does not specify any number of variants, thus it does not answer the question."
1,blackboard,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,1,hestia_ergo_podroz.md,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,1. Świadczenia w Ubezpieczeniu Pomoc Medyczna i Koszty Leczenia obejmują:   | **RODZAJ ŚWIADCZENIA** | **ŚWIADCZENIA** | |:---|:---| | **Pomoc medyczna** | a) leczenie szpitalne i ambulatoryjne;<br>b),"{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 4.000799894332886}","{'name': 'document_relevance', 'score': 0.0, 'label': 'unrelated', 'explanation': 'The document text discusses general medical assistance and treatment costs but does not mention dental (stomatologiczna) costs or ERGO Podróż coverage, so it cannot answer the question.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",0.0,unrelated,"The document text discusses general medical assistance and treatment costs but does not mention dental (stomatologiczna) costs or ERGO Podróż coverage, so it cannot answer the question."
1,blackboard,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,2,hestia_ergo_podroz.md,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,"Ubezpieczenie obejmuje: * ✓ niezbędną i natychmiastową pomoc w przypadku nagłego zachorowania lub nieszczęśliwego wypadku, np. leczenie szpitalne, ambulatoryjne, stomatologiczne, konsultacje medyczne","{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 10.837015628814697}","{'name': 'document_relevance', 'score': 0.0, 'label': 'unrelated', 'explanation': 'Document mentions dental care as part of coverage but does not provide any amount or limit for dental assistance, so the exact amount cannot be determined from the text.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",0.0,unrelated,"Document mentions dental care as part of coverage but does not provide any amount or limit for dental assistance, so the exact amount cannot be determined from the text."
1,blackboard,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,3,hestia_ergo7_pozakomunikacyjne.md,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,"5) środki pomocnicze, protezy, sprzęt rehabilitacyjny (z wyjątkiem sprzętu gospodarstwa domowego AGD i RTV), wózki inwalidzkie, przedmioty ortopedyczne oraz koszty odbudowy stomatologicznej zębów stał","{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 10.217429161071777}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': 'Ocena czy tekst dokumentu zawiera informacje odpowiadające na pytanie o pokrycie kosztów pomocy stomatologicznej w ERGO Podróż, w tym ewentualną kwotę; dokument wymienia koszty odbudowy stomatologicznej zębów stałych jako element świadczeń.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"Ocena czy tekst dokumentu zawiera informacje odpowiadające na pytanie o pokrycie kosztów pomocy stomatologicznej w ERGO Podróż, w tym ewentualną kwotę; dokument wymienia koszty odbudowy stomatologicznej zębów stałych jako element świadczeń."
1,blackboard,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,4,hestia_ergo_podroz.md,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,1. Ubezpieczenie Pomoc Medyczna i Koszty Leczenia oraz Ubezpieczenie Podróż Assistance obejmuje organizację i pokrycie niezbędnych kosztów udzielenia natychmiastowej pomocy za pośrednictwem Centrum Al,"{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 6.963843107223511}","{'name': 'document_relevance', 'score': 0.0, 'label': 'unrelated', 'explanation': 'Ocena zgodności: dokument wspomina tylko o ogólnych kosztach pomocy medycznej i ubezpieczeniu podróży, bez wzmianki o kosztach pomocy stomatologicznej ani kwotach pokrycia. Nie odpowiada na pytanie o koszty i zakres pokrycia pomocy stomatologicznej.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",0.0,unrelated,"Ocena zgodności: dokument wspomina tylko o ogólnych kosztach pomocy medycznej i ubezpieczeniu podróży, bez wzmianki o kosztach pomocy stomatologicznej ani kwotach pokrycia. Nie odpowiada na pytanie o koszty i zakres pokrycia pomocy stomatologicznej."
2,planner_executor,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,1,hestia_ergo_podroz.md,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,"W ramach ERGO Podróż dostępne są ubezpieczenia dodatkowe:   * **Sprzęt Sportowy** – możesz ubezpieczyć sprzęt sportowy od zdarzeń losowych, rabunku lub kradzieży. * **Karnety i Kursy** – otrzymasz zwr","{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 6.355758190155029}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': 'The document lists two ERGO Podróż insurance variants: Sprzęt Sportowy and Karnety i Kursy, indicating two variants offered.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"The document lists two ERGO Podróż insurance variants: Sprzęt Sportowy and Karnety i Kursy, indicating two variants offered."
2,planner_executor,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,2,hestia_ergo_podroz.md,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,**Ubezpieczenia na miarę potrzeb.** Umożliwiamy indywidualną konfigurację zakresu ubezpieczenia.,"{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 4.614792108535767}","{'name': 'document_relevance', 'score': 0.0, 'label': 'unrelated', 'explanation': 'The document mentions customized insurance and configurable coverage, but does not provide the number of insurance variants.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",0.0,unrelated,"The document mentions customized insurance and configurable coverage, but does not provide the number of insurance variants."
